Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
667f0ed4d63bf7e36121b587,5eb181c6c2338228411f7920,RETURNED,Not Applicable,2024-06-28T19:39:00.010000Z,,,,,,184,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667f0f3c7718aff0b8255093,61544c72236c88d054490ea6,RETURNED,Not Applicable,2024-06-28T19:30:17.698000Z,,,,,,224,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667f0f6adf0d51e89c7ea6c0,613cc843c0b56b1567b14534,RETURNED,Not Applicable,2024-06-28T19:31:21.996000Z,,,,,,99,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667f0f746885e1eba8d9369e,62d5cef0d9f0379a81a33cf1,RETURNED,Not Applicable,2024-06-28T19:41:00.022000Z,,,,,,501,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667f0f8ac32c389a9edb898c,6655dc43030dd435ecacfd6f,RETURNED,Not Applicable,2024-06-28T19:31:44.348000Z,,,,,,4,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667f0f9000ec05510d592fc1,66154891e6bdb9c9dd684327,TIMED-OUT,Not Applicable,2024-06-28T19:31:35.028000Z,,,,2069563.0,,8,37,Male,White,Austria,Austria,Austria,German,No,Full-Time
667f10400054e09c1bd3764b,665350600dd6b120d6277db4,TIMED-OUT,Not Applicable,2024-06-28T19:34:33.098000Z,,,,2069385.0,,1,29,Female,White,Canada,Canada,Canada,English,No,Full-Time
667f107054b235e9874a0792,65a25eb63de607c647878d6e,RETURNED,Not Applicable,2024-06-28T19:35:26.046000Z,,,,,,78,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667f115ba1c0c69aa1c1baa3,5b0e9af69663ee000145bc26,RETURNED,Not Applicable,2024-06-28T19:39:13.062000Z,,,,,,39,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667f1550c86fc3d6f7610ed1,5f47cdcb9603e31f7f6a7dbd,RETURNED,Not Applicable,2024-06-28T19:56:00.759000Z,2024-06-28T19:56:21.730000Z,,2024-06-28T19:56:53.548000Z,,NOCODE,209,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667f16be4ca7b1aad45b4b8d,65e2b3b946ad361e29ccd504,RETURNED,Not Applicable,2024-06-28T20:12:06Z,,,,,,98,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
667f20e1e65be5034d4ec668,667c6a851452f373afd7a1f0,RETURNED,Not Applicable,2024-06-28T20:45:21.098000Z,,,,,,39,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6682f85ad953c2cf476e1d96,62d2c9d825a0449c13aa42cc,RETURNED,Not Applicable,2024-07-01T18:51:30.601000Z,,,,,,1040,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
